Mean performance on the last batch at each run 
PMAUC, WAUC, EWAUC, G-mean 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
1.0, 1.0, 1.0, 0.0, 
